10,0,0,7.3e-07,2.8065e-05
100,0,0,4.129e-06,2.4677e-05
1000,0,0,3.7141e-05,5.6204e-05
10000,0,0,0.000300795,0.000316482
100000,0,0,0.003023048,0.00303862
1000000,0,0,0.027025454,0.02703997
10000000,0,0,0.172792465,0.172805529
100000000,0,0,1.302443901,1.302451478
10,4,0,5.388e-05,6.4547e-05
100,4,0,5.2338e-05,6.2267e-05
1000,4,0,0.000165126,0.000175028
10000,4,0,8.8199e-05,9.8402e-05
100000,4,0,0.000416005,0.000425864
1000000,4,0,0.00355431,0.003564204
10000000,4,0,0.034494844,0.034504622
100000000,4,0,0.344217442,0.344227378
10,8,0,9.9143e-05,0.000108252
100,8,0,0.000103449,0.000113416
1000,8,0,0.000324423,0.000334545
10000,8,0,0.000173753,0.000183474
100000,8,0,0.000815046,0.000824957
1000000,8,0,0.003678236,0.00368823
10000000,8,0,0.041200906,0.041210801
100000000,8,0,0.372711795,0.372721775
10,12,0,0.00012567,0.000135613
100,12,0,0.000120477,0.000130345
1000,12,0,0.000129127,0.000139099
10000,12,0,0.000212549,0.000222082
100000,12,0,0.001097645,0.001107239
1000000,12,0,0.004485031,0.004494992
10000000,12,0,0.040171835,0.04018184
100000000,12,0,0.351832466,0.351842481
10,16,0,0.000160022,0.000170075
100,16,0,0.000149747,0.000159523
1000,16,0,0.000157125,0.000167219
10000,16,0,0.000242552,0.000252502
100000,16,0,0.001278054,0.001287989
1000000,16,0,0.004554309,0.004564384
10000000,16,0,0.040041606,0.040051662
100000000,16,0,0.348615733,0.348625979
10,0,1,1.88e-07,7.604e-06
100,0,1,1.512e-06,9.156e-06
1000,0,1,1.4631e-05,2.2161e-05
10000,0,1,0.000145823,0.00015347
100000,0,1,0.001414705,0.001422333
1000000,0,1,0.013726051,0.01373346
10000000,0,1,0.130691971,0.130699436
100000000,0,1,1.302832852,1.302840365
10,4,1,5.6427e-05,6.7243e-05
100,4,1,5.2338e-05,6.2193e-05
1000,4,1,6.114e-05,7.1111e-05
10000,4,1,8.1402e-05,9.1567e-05
100000,4,1,0.000413786,0.000423625
1000000,4,1,0.003548902,0.003559005
10000000,4,1,0.034487434,0.034496231
100000000,4,1,0.344575443,0.344585544
10,8,1,8.9887e-05,0.000100277
100,8,1,9.6272e-05,0.000106163
1000,8,1,9.2666e-05,0.000102608
10000,8,1,0.000134743,0.000144514
100000,8,1,0.000648088,0.000658099
